COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,DATE,PRICE HIGH,PRICE LOW,CLOSE PRICE,OPEN PRICE,TRADE VOLUME,SHARE VOLUME,TURNOVER
JKH,N,0,JKH,14-Nov-22,140.25,137.75,139.75,139.75,192,"459,961","64,175,986.25"
JKH,N,0,JKH,15-Nov-22,142.5,140.25,141.5,141,305,"484,995","68,467,361.50"
JKH,N,0,JKH,16-Nov-22,141,140.5,140.5,141,219,"336,122","47,249,807.00"
JKH,N,0,JKH,17-Nov-22,140.5,137.5,139,140,145,"755,644","105,599,903.00"
JKH,N,0,JKH,18-Nov-22,138.5,137,137.5,138,146,"227,275","31,318,587.50"
JKH,N,0,JKH,21-Nov-22,138,136.25,137.75,137.5,186,"2,035,435","280,181,045.25"
JKH,N,0,JKH,22-Nov-22,140,137.5,139,137.5,77,"362,546","50,402,343.75"
JKH,N,0,JKH,23-Nov-22,141,139,140,139.5,55,"95,048","13,297,991.75"
JKH,N,0,JKH,24-Nov-22,140,138.5,139.5,139.5,78,"459,709","64,123,247.50"
JKH,N,0,JKH,25-Nov-22,140.5,139,140,140,94,"234,776","32,852,904.75"
JKH,N,0,JKH,28-Nov-22,140,138.5,139.25,139.75,55,"91,245","12,674,284.25"
JKH,N,0,JKH,29-Nov-22,141,139.5,140,140,137,"388,051","54,336,197.25"
JKH,N,0,JKH,30-Nov-22,140.25,139,140,140,171,"349,124","48,871,288.00"
JKH,N,0,JKH,01-Dec-22,140,139.5,139.5,140,56,"40,729","5,692,924.50"
JKH,N,0,JKH,02-Dec-22,141,139.75,140,139.75,125,"1,320,847","184,928,744.50"
JKH,N,0,JKH,05-Dec-22,143.75,140.75,143.5,140.75,125,"207,406","29,566,225.75"
JKH,N,0,JKH,06-Dec-22,147.5,143.75,146.75,143.75,291,"3,329,720","485,457,360.25"
JKH,N,0,JKH,08-Dec-22,150,147,149.25,147,412,"1,602,145","239,894,297.50"
JKH,N,0,JKH,09-Dec-22,149.75,146,147,149.5,152,"181,484","26,892,153.50"
JKH,N,0,JKH,12-Dec-22,147,143.5,144.75,147,171,"291,532","42,270,679.25"
JKH,N,0,JKH,13-Dec-22,144,140.5,141,144,184,"649,195","91,617,086.00"
JKH,N,0,JKH,14-Dec-22,143,141,142,141,49,"57,689","8,193,300.75"
JKH,N,0,JKH,15-Dec-22,142,140.5,141,142,55,"102,372","14,460,833.00"
JKH,N,0,JKH,16-Dec-22,141,140,140.75,141,84,"263,211","37,073,600.50"
JKH,N,0,JKH,19-Dec-22,142,139.75,140,142,77,"687,913","96,423,816.75"
JKH,N,0,JKH,20-Dec-22,140.5,139.5,139.5,140,80,"1,159,154","162,251,854.50"
JKH,N,0,JKH,21-Dec-22,140,139,139.5,139.5,132,"272,766","38,079,671.75"
JKH,N,0,JKH,22-Dec-22,139.5,138,138,139,77,"1,082,228","149,397,225.25"
JKH,N,0,JKH,23-Dec-22,139,135.5,137.75,137.75,68,"132,243","18,220,046.25"
JKH,N,0,JKH,27-Dec-22,138.75,136.5,137.25,138.75,37,"13,023","1,790,052.25"
JKH,N,0,JKH,28-Dec-22,138.5,136,136,138.5,45,"5,599","763,896.00"
JKH,N,0,JKH,29-Dec-22,136.75,135,135.5,136.75,117,"792,226","107,347,637.50"
JKH,N,0,JKH,30-Dec-22,136,135,135.25,136,187,"581,402","78,574,709.25"
JKH,N,0,JKH,02-Jan-23,138,135,135.5,136.5,120,"698,453","94,695,081.75"
JKH,N,0,JKH,03-Jan-23,139.75,135.5,137.75,135.5,72,"976,062","132,414,012.00"
JKH,N,0,JKH,04-Jan-23,139.5,136,138.5,137,62,"138,818","19,239,106.75"
JKH,N,0,JKH,05-Jan-23,138.75,137.75,138,138.75,90,"1,269,019","175,740,235.00"
JKH,N,0,JKH,09-Jan-23,138,135.25,135.75,138,52,"19,235","2,609,889.75"
JKH,N,0,JKH,10-Jan-23,136.25,135.25,135.25,135.25,46,"104,227","14,122,954.50"
JKH,N,0,JKH,11-Jan-23,136,135.5,136,135.5,43,"132,159","17,957,959.25"
JKH,N,0,JKH,12-Jan-23,137,135.75,135.75,136,62,"575,943","78,272,726.25"
JKH,N,0,JKH,13-Jan-23,137,135.75,136.75,135.75,44,"98,189","13,389,845.50"
JKH,N,0,JKH,17-Jan-23,137.5,136.25,136.5,136.5,48,"27,360","3,741,894.25"
JKH,N,0,JKH,18-Jan-23,137.25,136.5,136.75,136.5,24,"12,723","1,740,264.25"
JKH,N,0,JKH,19-Jan-23,138,136,136.25,138,123,"1,346,279","183,442,543.75"
JKH,N,0,JKH,20-Jan-23,139.25,136,137.5,136.25,143,"992,019","136,759,991.25"
JKH,N,0,JKH,23-Jan-23,140.5,137.5,137.75,138,87,"59,906","8,348,037.50"
JKH,N,0,JKH,24-Jan-23,139.5,137.5,137.75,139,76,"285,274","39,333,310.50"
JKH,N,0,JKH,25-Jan-23,139,137.25,138,137.5,71,"264,927","36,514,241.00"
JKH,N,0,JKH,26-Jan-23,138.25,137,137.75,138,97,"298,008","41,115,275.25"
JKH,N,0,JKH,27-Jan-23,140,137,139.25,137,82,"500,475","69,237,101.75"
JKH,N,0,JKH,30-Jan-23,140,136.5,140,136.5,110,"898,088","125,669,026.50"
JKH,N,0,JKH,31-Jan-23,140,139,139.5,140,64,"898,078","125,704,191.00"
JKH,N,0,JKH,01-Feb-23,140,138.5,140,139.5,75,"1,711,989","239,462,424.75"
JKH,N,0,JKH,02-Feb-23,143.5,140,143.5,140,154,"1,661,862","237,950,011.75"
JKH,N,0,JKH,03-Feb-23,145,143.5,144.75,143.5,218,"5,724,680","829,450,031.25"
